trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
721,False,"{'a': 0.5, 'e': 0.0007200126227424999}",25,13,27.694318714306977,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
722,False,"{'a': 0.5, 'e': 0.0007128124965150749}",20,16,6.524679071613216,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
723,False,"{'a': 0.5, 'e': 0.0007056843715499242}",20,10,19.705579326725452,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
724,False,"{'a': 0.5, 'e': 0.0006986275278344249}",25,13,21.48074954540675,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
725,False,"{'a': 0.5, 'e': 0.0006916412525560807}",25,16,20.188203356240614,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
726,False,"{'a': 0.5, 'e': 0.0006847248400305198}",25,19,13.679427055166427,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
727,False,"{'a': 0.5, 'e': 0.0006778775916302147}",20,6,25.78522235017255,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
728,False,"{'a': 0.5, 'e': 0.0006710988157139125}",25,13,22.298238558757024,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
729,False,"{'a': 0.5, 'e': 0.0006643878275567733}",20,3,26.78497774428487,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
730,False,"{'a': 0.5, 'e': 0.0006577439492812056}",35,17,34.93053435082891,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
731,False,"{'a': 0.5, 'e': 0.0006511665097883936}",25,12,23.05002411969619,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
732,False,"{'a': 0.5, 'e': 0.0006446548446905096}",20,7,23.9673313339904,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
733,False,"{'a': 0.5, 'e': 0.0006382082962436045}",25,16,20.265736030610075,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
734,False,"{'a': 0.5, 'e': 0.0006318262132811685}",25,8,31.242794027019297,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
735,False,"{'a': 0.5, 'e': 0.0006255079511483568}",25,7,36.17819703113531,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
736,False,"{'a': 0.5, 'e': 0.0006192528716368732}",25,5,38.13529577805132,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
737,False,"{'a': 0.5, 'e': 0.0006130603429205045}",25,11,29.026497357789363,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
738,False,"{'a': 0.5, 'e': 0.0006069297394912994}",30,14,31.323832449688396,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
739,False,"{'a': 0.5, 'e': 0.0006008604420963865}",25,13,20.47673796840941,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
740,False,"{'a': 0.5, 'e': 0.0005948518376754226}",25,13,22.235119191260054,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
741,False,"{'a': 0.5, 'e': 0.0005889033192986683}",35,24,17.269985186113757,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
742,False,"{'a': 0.5, 'e': 0.0005830142861056817}",20,8,24.640952615558376,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
743,False,"{'a': 0.5, 'e': 0.0005771841432446248}",25,15,20.273066476509083,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
744,False,"{'a': 0.5, 'e': 0.0005714123018121785}",20,0,31.170692420228377,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
745,False,"{'a': 0.5, 'e': 0.0005656981787940568}",30,17,25.47816153768333,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
